货物全称,一级分类,二级分类,三级分类
焊方矩管,钢铁,钢 材、合金钢材,管材及附件
焊+方矩管,钢铁,钢 材、合金钢材,管材及附件
果树专用复合肥,肥料及农药,化 肥,\
热轧圆钢,钢铁,钢 材、合金钢材,线材
热镀圆管螺旋管,钢铁,钢 材、合金钢材,管材及附件
热镀圆管热度方矩管,钢铁,钢 材、合金钢材,管材及附件
热镀方矩圆管,钢铁,钢 材、合金钢材,管材及附件
钢管热度,钢铁,钢 材、合金钢材,管材及附件
螺旋方矩管热镀管,钢铁,钢 材、合金钢材,管材及附件
钢管黑方,钢铁,钢 材、合金钢材,管材及附件
防腐螺旋钢管,钢铁,钢 材、合金钢材,管材及附件
焊管螺旋管热镀管,钢铁,钢 材、合金钢材,管材及附件
油桶,钢铁,钢铁制品,钢铁容器
1.8米宽8米长开平板,钢铁,钢 材、合金钢材,板材
4.75mm开平板,钢铁,钢 材、合金钢材,板材
玻璃,轻工、医药产品,日用工业品,玻璃制品
铣床,机械设备、电器,普通工业机械及设备,金属加工机械及设备
尼龙绳,轻工、医药产品,针织、纺织、皮毛及制品,纺织材料包、套等，复合材料纱、线、绳
罐头,轻工、医药产品,饮食品,罐头，硬、软包装食品
钢板,钢铁,钢 材、合金钢材,板材
冰柜,机械设备、电器,电力设备、电器机械及器材,家用电器
口服糖,轻工、医药产品,饮食品,糖（固体、浆）
凌雪白糖,轻工、医药产品,饮食品,糖（固体、浆）
3.0x1500x4700开平板,钢铁,钢 材、合金钢材,板材
瑞雪双胶纸,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
有机板,钢铁,钢 材、合金钢材,板材
船钢板,钢铁,钢 材、合金钢材,板材
拖鞋,轻工、医药产品,针织、纺织、皮毛及制品,鞋帽
金鼎食用调和油,农、林、牧、渔业产品,经济作物及制品,动植物食用油料、脂肪及制品
金鼎纯正菜籽油,农、林、牧、渔业产品,经济作物及制品,动植物食用油料、脂肪及制品
试卷,轻工、医药产品,文化体育用品,印刷品
铝板,有色金属,铝,精铝及铝材
家具,轻工、医药产品,日用工业品,家具、坐具
家居,轻工、医药产品,日用工业品,家具、坐具
镀锌卷,钢铁,钢 材、合金钢材,卷材
黑方管制品,钢铁,钢 材、合金钢材,管材及附件
王老吉饮料,轻工、医药产品,饮食品,饮料、果菜汁
展示柜,钢铁,钢铁制品,钢铁容器
角钢方管,钢铁,钢 材、合金钢材,管材及附件
铸管,钢铁,钢铁制品,钢铁材料、结构体
铁芯,钢铁,生铁、铁合金、非合金钢,铁合金
铁塔件,钢铁,生铁、铁合金、非合金钢,铁或非合金钢板轧材、卷、角、型材
彩钢瓦,钢铁,钢 材、合金钢材,板材
型材,钢铁,钢 材、合金钢材,型材
电梯配件,机械设备、电器,普通工业机械及设备,通用设备
裙装,轻工、医药产品,针织、纺织、皮毛及制品,服装
牛仔裤,轻工、医药产品,针织、纺织、皮毛及制品,服装
上衣,轻工、医药产品,针织、纺织、皮毛及制品,服装
女鞋,轻工、医药产品,针织、纺织、皮毛及制品,鞋帽
呢大衣,轻工、医药产品,针织、纺织、皮毛及制品,服装
背心连衣裙,轻工、医药产品,针织、纺织、皮毛及制品,服装
面包,轻工、医药产品,饮食品,糕点、面食、谷物食品
