,货物名称,三级分类,二级分类,一级分类
0,浩元热镀圆,线材,钢铁制品,钢铁
1,奶精,线材,钢铁制品,钢铁
2,螺旋,线材,钢铁制品,钢铁
3,半圆形金属框架,线材,钢铁制品,钢铁
4,热镀圆,线材,钢铁制品,钢铁
5,钢丝鱼药,线材,钢铁制品,钢铁
6,钢塑,线材,钢铁制品,钢铁
7,热镀管,线材,钢铁制品,钢铁
8,螺旋加焊管,线材,钢铁制品,钢铁
9,金诚热镀管,线材,钢铁制品,钢铁
10,铁合金,线材,钢铁制品,钢铁
11,莱钢螺旋,线材,钢铁制品,钢铁
12,镀锌管,管材及附件,钢 材、合金钢材,钢铁
13,铝锭,线材,钢铁制品,钢铁
14,纤维板,线材,钢铁制品,钢铁
15,乌精粉纽曼,线材,钢铁制品,钢铁
16,不锈钢,线材,钢铁制品,钢铁
17,轻型胶纸板,线材,钢铁制品,钢铁
18,热加钢塑,线材,钢铁制品,钢铁
19,精致轻量涂布纸,线材,钢铁制品,钢铁
20,螺旋管,线材,钢铁制品,钢铁
21,焊管莱钢,线材,钢铁制品,钢铁
22,热镀方矩管,管材及附件,钢 材、合金钢材,钢铁
23,钢棒,线材,钢铁制品,钢铁
24,焊管发莱钢,线材,钢铁制品,钢铁
25,油槽数控铣床,金属加工机械及设备,普通工业机械及设备,机械设备、电器
26,铁精粉,线材,钢铁制品,钢铁
27,焊管,管材及附件,钢 材、合金钢材,钢铁
28,扁铁丝,线材,钢铁制品,钢铁
29,钢丝排,线材,钢铁制品,钢铁
30,钢格板,线材,钢铁制品,钢铁
31,PCl铝模板,线材,钢铁制品,钢铁
32,热镀圆钢塑,线材,钢铁制品,钢铁
33,印刷原纸,线材,钢铁制品,钢铁
34,热轧态钢板,线材,钢铁制品,钢铁
35,热方,管材及附件,钢 材、合金钢材,钢铁
36,工字钢,型材,钢 材、合金钢材,钢铁
37,焊管加螺旋,线材,钢铁制品,钢铁
38,热镀管箱,线材,钢铁制品,钢铁
39,镀锌扁铁,线材,钢铁制品,钢铁
40,圆钢,线材,钢铁制品,钢铁
41,热镀,管材及附件,钢 材、合金钢材,钢铁
